ID,Nome
1,Abacate
2,Abacaxi
3,Algodão Arbóreo (em caroço)
4,Algodão Herbáceo (em caroço)
5,Alho
6,Amendoim (em casca)
7,Amendoim (em casca) – 1ª Safra
8,Amendoim (em casca) – 2ª Safra
9,Arroz (em casca)
10,Aveia (em grão)
11,Azeitona
12,Banana (cacho)
13,Batata-doce
14,Batata-inglesa
15,Batata-inglesa – 1ª Safra
16,Batata-inglesa – 2ª Safra
17,Batata-inglesa – 3ª Safra
18,Borracha (látex coagulado)
19,Cacau (em amêndoa)
20,Café (em grão) Arábica
21,Café (em grão) Canephora
22,Café (em grão) Total
23,Cana-de-açucar
24,Caqui
25,Castanha de caju
26,Cebola
27,Centeio (em grão)
28,Chá-da-india (folha verde)
29,Coco-da-baía
30,Dendê (cacho de coco)
31,Erva-mate (folha verde)
32,Ervilha (em grão)
33,Fava (em grão)
34,Feijão (em grão)
35,Feijão (em grão) – 1ª Safra
36,Feijão (em grão) – 2ª Safra
37,Feijão (em grão) – 3ª Safra
38,Figo
39,Fumo (em folha)
40,Girassol (em grão)
41,Goiaba
42,Guaraná (semente)
43,Juta (fibra)
44,Laranja
45,Limão
46,Linho (semente)
47,Maçã
48,Malva (fibra)
49,Mamão
50,Mamona (baga)
51,Mandioca
52,Manga
53,Maracujá
54,Marmelo
55,Melancia
56,Melão
57,Milho (em grão)
58,Milho (em grão) – 1ª Safra
59,Milho (em grão) – 2ª Safra
60,Noz (fruto seco)
61,Palmito
62,Pera
63,Pêssego
64,Pimenta-do-reino
65,Rami (fibra)
66,Sisal ou agave (fibra)
67,Soja (em grão)
68,Sorgo (em grão)
69,Tangerina
70,Tomate
71,Trigo (em grão)
72,Triticale (em grão)
73,Total
74,Urucum (semente)
75,Açaí
76,Cana-de-açúcar
77,Uva
78,Cevada (em grão)
79,Tungue (fruto seco)
